Date,Close,Open,High,Low,Returns,Amplitude,Week,Year,Month,Weekday,Day,Pre_1_Week_Mean,Pre_2_Week_Mean,Pre_4_Week_Mean,Next_1_Week_Mean,Next_2_Week_Mean,Next_4_Week_Mean,Next_1_Week_Mean_Diff,Next_2_Week_Mean_Diff,Next_4_Week_Mean_Diff,Next_1_Week_Mean_Returns,Next_2_Week_Mean_Returns,Next_4_Week_Mean_Returns
2009-03-30,3550,3561,3663,3513,,0.0,14,2009,3,0,30,,,,3548.6,3507.3,3528.55,,,,,,
2009-03-31,3550,3544,3580,3528,0.0,-0.48,14,2009,3,1,31,,,,3534.8,3500.8,3526.55,,,,,,
2009-04-01,3538,3549,3566,3531,-0.0033802816901408453,0.14,14,2009,4,2,1,,,,3506.8,3493.3,3523.85,,,,,,
2009-04-02,3560,3547,3561,3543,0.006218202374222725,-0.06,14,2009,4,3,2,,,,3495.2,3496.5,3522.3,,,,,,
2009-04-03,3545,3473,3548,3456,-0.004213483146067416,-2.09,14,2009,4,4,3,,,,3478.4,3498.7,3521.1,,,,,,
2009-04-06,3481,3448,3481,3436,-0.018053596614950634,-0.72,15,2009,4,0,6,3548.6,,,3466.0,3503.6,3522.5,-82.59999999999991,,,-0.02327678521106913,,
2009-04-08,3410,3491,3518,3410,-0.020396437805228384,1.25,15,2009,4,2,8,3534.8,,,3466.8,3517.5,3530.25,-68.0,,,-0.019237297725472443,,
2009-04-09,3480,3463,3491,3456,0.020527859237536656,-0.8,15,2009,4,3,9,3506.8,,,3479.8,3534.5,3538.65,-27.0,,,-0.0076993270217862435,,
2009-04-10,3476,3468,3486,3460,-0.0011494252873563218,0.14,15,2009,4,4,10,3495.2,,,3497.8,3541.5,3546.05,2.600000000000364,,,0.0007438773174640547,,
2009-04-13,3483,3484,3499,3470,0.0020138089758342925,0.46,16,2009,4,0,13,3478.4,,,3519.0,3546.8,3552.2,40.59999999999991,,,0.011672033118675226,,
2009-04-14,3485,3469,3493,3464,0.0005742176284811944,-0.43,16,2009,4,1,14,3466.0,3507.3,,3541.2,3549.8,3558.8,75.19999999999982,42.5,,0.021696480092325394,0.012117583326205342,
2009-04-15,3475,3560,3600,3469,-0.0028694404591104736,2.62,16,2009,4,2,15,3466.8,3500.8,,3568.2,3552.3,3566.8,101.39999999999964,51.5,,0.02924887504326746,0.014710923217550274,
2009-04-16,3570,3562,3590,3550,0.027338129496402876,0.06,16,2009,4,3,16,3479.8,3493.3,,3589.2,3554.4,3575.8,109.39999999999964,61.09999999999991,,0.031438588424622,0.017490624910543012,
2009-04-17,3582,3596,3628,3570,0.0033613445378151263,0.95,16,2009,4,4,17,3497.8,3496.5,,3585.2,3548.1,3578.1,87.39999999999964,51.59999999999991,,0.024987134770427022,0.014757614757614732,
2009-04-20,3594,3620,3648,3581,0.0033500837520938024,0.67,17,2009,4,0,20,3519.0,3498.7,,3574.6,3543.5,3579.0,55.59999999999991,44.80000000000018,,0.01579994316567204,0.012804756052248031,
2009-04-21,3620,3623,3648,3608,0.007234279354479688,0.08,17,2009,4,1,21,3541.2,3503.6,,3558.4,3541.4,3579.05,17.200000000000273,37.80000000000018,,0.004857110583982908,0.010788902842790325,
2009-04-22,3580,3524,3590,3486,-0.011049723756906077,-2.73,17,2009,4,2,22,3568.2,3517.5,,3536.4,3543.0,3579.55,-31.799999999999727,25.5,,-0.008912056499075088,0.007249466950959489,
2009-04-23,3550,3526,3566,3508,-0.008379888268156424,0.06,17,2009,4,3,23,3589.2,3534.5,,3519.6,3542.8,3581.35,-69.59999999999991,8.300000000000182,,-0.019391507856904022,0.002348281227896501,
2009-04-24,3529,3513,3531,3488,-0.005915492957746479,-0.37,17,2009,4,4,24,3585.2,3541.5,,3511.0,3550.6,3584.85,-74.19999999999982,9.099999999999909,,-0.0206961954702666,0.002569532683890981,
2009-04-27,3513,3501,3522,3497,-0.004533862283933126,-0.34,18,2009,4,0,27,3574.6,3546.8,,3512.4,3557.6,3589.35,-62.19999999999982,10.799999999999727,,-0.017400548313097917,0.003044998308334196,
2009-04-28,3510,3499,3520,3492,-0.0008539709649871904,-0.06,18,2009,4,1,28,3558.4,3549.8,3528.55,3524.4,3567.8,3595.15,-34.0,18.0,66.59999999999991,-0.009554856115107913,0.005070708208913178,0.018874608550254326
2009-04-29,3496,3507,3515,3496,-0.003988603988603989,0.23,18,2009,4,2,29,3536.4,3552.3,3526.55,3549.6,3581.3,3600.1,13.199999999999818,29.0,73.54999999999973,0.0037326094333219708,0.008163724910621287,0.020856077469481427
2009-04-30,3507,3520,3520,3503,0.003146453089244851,0.37,18,2009,4,3,30,3519.6,3554.4,3523.85,3566.0,3597.2,3606.7,46.40000000000009,42.79999999999973,82.84999999999991,0.013183316285941611,0.01204141345937422,0.02351121642521671
2009-05-01,3536,3553,3575,3523,0.008269175933846592,0.94,18,2009,5,4,1,3511.0,3548.1,3522.3,3590.2,3608.1,3612.85,79.19999999999982,60.0,90.54999999999973,0.022557675875818802,0.01691045911896508,0.025707634216279057
