Date,Close,Open,High,Low,Returns,Amplitude,Week,Year,Month,Weekday,Day,Pre_1_Week_Mean,Pre_2_Week_Mean,Pre_4_Week_Mean,Next_1_Week_Mean,Next_2_Week_Mean,Next_4_Week_Mean,Close_MA5,Close_MA10,Close_MA50,Close_MA100,Close_EMA12,Close_EMA26,Close_MACD_12-26,Next_1_Week_Mean_Diff,Next_2_Week_Mean_Diff,Next_4_Week_Mean_Diff,Next_1_Week_Mean_Returns,Next_2_Week_Mean_Returns,Next_4_Week_Mean_Returns,Next_1_Week_Mean_Diff_Label,Next_2_Week_Mean_Diff_Label,Next_4_Week_Mean_Diff_Label,Next_1_Week_Mean_Diff_Label2,Next_2_Week_Mean_Diff_Label2,Next_4_Week_Mean_Diff_Label2,Next_1_Week_Mean_Returns_Label,Next_2_Week_Mean_Returns_Label,Next_4_Week_Mean_Returns_Label,Next_1_Week_Mean_Returns_Label2,Next_2_Week_Mean_Returns_Label2,Next_4_Week_Mean_Returns_Label2,Close_1_Week_Mean,is_First_or_Last_1_WeekDay,Close_1_Week_Mean_Diff,Close_1_Week_Mean_Returns,Close_1_Week_Mean_Diff_Label2,Close_1_Week_Mean_Diff_Label3,Week//2,Close_2_Week_Mean,is_First_or_Last_2_WeekDay,Close_2_Week_Mean_Diff,Close_2_Week_Mean_Returns,Close_2_Week_Mean_Diff_Label2,Close_2_Week_Mean_Diff_Label3,Close_1_Month_Mean,is_First_or_Last_1_MonthDay,Close_1_Month_Mean_Diff,Close_1_Month_Mean_Returns,Close_1_Month_Mean_Returns_Label2,Close_1_Month_Mean_Diff_Label2,Close_1_Month_Mean_Diff_Label3
2009-08-20,4400,4219,4414,4219,-0.01675977653631285,-4.46,34,2009,8,3,20,4560.8,4682.1,4524.15,4328.2,4277.1,4138.9,4511.8,4634.9,4151.42,3869.46,4547.254302796893,4429.106819178301,118.14748361859256,-232.60000000000036,-405.0,-385.25,-0.05099982459217689,-0.08649964759402831,-0.08515411734801014,0,0,0,0,0,0,0,0,0,0,0,0,4435.6,0,0.0,0.0,1,1,17,4363.9,0,0.0,0.0,1,1,4544.714285714285,0,0.0,0.0,1,1,1
2009-08-21,4240,4282,4317,4131,-0.03636363636363636,1.49,34,2009,8,4,21,4511.8,4634.9,4541.95,4290.2,4240.7,4118.15,4435.6,4569.9,4160.02,3876.36,4499.984407835767,4415.093007937744,84.89139989802334,-221.60000000000036,-394.1999999999998,-423.8000000000002,-0.04911565228955192,-0.085050378648946,-0.09330794042206546,0,0,0,0,0,0,0,0,0,0,0,0,4435.6,1,0.0,0.0,1,1,17,4363.9,0,0.0,0.0,1,1,4544.714285714285,0,0.0,0.0,1,1,1
2009-08-24,4270,4334,4426,4245,0.007075471698113208,1.21,35,2009,8,0,24,4435.6,4569.9,4549.55,4292.2,4222.7,4108.65,4365.6,4508.4,4167.66,3883.56,4464.602189837603,4404.341187286645,60.26100255095753,-143.40000000000055,-347.1999999999998,-440.90000000000055,-0.032329335377401146,-0.0759754042758047,-0.09691068347418987,0,0,0,0,0,0,0,0,0,0,0,0,4292.2,-1,-143.40000000000055,-0.032329335377401146,0,0,17,4363.9,0,0.0,0.0,1,1,4544.714285714285,0,0.0,0.0,1,1,1
2009-08-25,4451,4323,4462,4306,0.042388758782201406,-0.25,35,2009,8,1,25,4365.6,4508.4,4556.8,4295.8,4201.2,4094.2,4367.2,4478.3,4179.58,3892.69,4462.5095451767365,4407.798643334857,54.710901841879604,-69.80000000000018,-307.1999999999998,-462.60000000000036,-0.015988638446032658,-0.0681394729837636,-0.10151860955056187,0,0,0,0,0,0,1,0,0,0,0,0,4292.2,0,0.0,0.0,1,1,17,4363.9,0,0.0,0.0,1,1,4544.714285714285,0,0.0,0.0,1,1,1
2009-08-26,4280,4240,4280,4181,-0.038418332958885644,-1.92,35,2009,8,2,26,4367.2,4478.3,4569.45,4257.8,4157.9,4070.15,4328.2,4444.5,4188.6,3899.89,4434.431152811061,4398.328912939188,36.10223987187328,-109.39999999999964,-320.40000000000055,-499.2999999999997,-0.02505037552665315,-0.07154500591742415,-0.10926916806180169,0,0,0,0,0,0,0,0,0,0,0,0,4292.2,0,0.0,0.0,1,1,17,4363.9,0,0.0,0.0,1,1,4544.714285714285,0,0.0,0.0,1,1,1
2009-08-27,4210,4269,4296,4202,-0.016355140186915886,0.68,35,2009,8,3,27,4328.2,4444.5,4571.7,4226.0,4119.7,4055.0,4290.2,4401.0,4195.58,3906.54,4399.9032823153875,4384.374305681852,15.528976633535422,-102.19999999999982,-324.8000000000002,-516.6999999999998,-0.023612587218705194,-0.07307908651141864,-0.11302141435352273,0,0,0,0,0,0,0,0,0,0,0,0,4292.2,0,0.0,0.0,1,1,17,4363.9,0,0.0,0.0,1,1,4544.714285714285,0,0.0,0.0,1,1,1
2009-08-28,4250,4271,4312,4223,0.009501187648456057,0.05,35,2009,8,4,28,4290.2,4401.0,4565.55,4191.2,4094.7,4042.4,4292.2,4363.9,4203.54,3914.23,4376.841238411786,4374.417801151075,2.42343726071158,-99.0,-306.3000000000002,-523.1500000000001,-0.023075847279847093,-0.06959781867757332,-0.11458641346606653,0,0,0,0,0,0,0,0,0,0,0,0,4292.2,1,0.0,0.0,1,1,17,4363.9,1,0.0,0.0,1,1,4544.714285714285,0,0.0,0.0,1,1,1
2009-08-31,4288,4272,4333,4250,0.008941176470588235,0.02,36,2009,8,0,31,4292.2,4363.9,4557.55,4153.2,4075.7,4023.95,4295.8,4330.7,4212.26,3923.01,4363.173355343276,4368.014784136194,-4.841428792918123,-139.0,-288.1999999999998,-533.6000000000004,-0.03238432505475048,-0.06604184330530027,-0.11708044892540956,0,0,0,0,0,0,0,0,0,0,0,0,4153.2,-1,-139.0,-0.03238432505475048,0,0,18,4075.7,-1,-288.1999999999998,-0.06604184330530027,0,0,4544.714285714285,1,0.0,0.0,1,1,1
2009-09-01,4261,4133,4271,4115,-0.006296641791044776,-3.25,36,2009,9,1,1,4295.8,4330.7,4547.85,4106.6,4046.9,4001.05,4257.8,4312.5,4219.32,3930.82,4347.454377368566,4360.085815707317,-12.63143833875074,-189.19999999999982,-283.7999999999997,-546.8000000000002,-0.044043018762512175,-0.06553213106426206,-0.12023263740009019,0,0,0,0,0,0,0,0,0,0,0,0,4153.2,0,0.0,0.0,1,1,18,4075.7,0,0.0,0.0,1,1,3977.2727272727275,-1,-567.4415584415578,-0.12485747678907695,0,0,0
2009-09-02,4121,4086,4135,4066,-0.03285613705702887,-1.14,36,2009,9,2,2,4257.8,4312.5,4522.05,4058.0,4013.5,3978.6,4226.0,4277.1,4223.78,3937.27,4312.615241958216,4342.371726913475,-29.75648495525911,-199.80000000000018,-299.0,-543.4500000000003,-0.046925642350509694,-0.06933333333333333,-0.12017779546886927,0,0,0,0,0,0,0,0,0,0,0,0,4153.2,0,0.0,0.0,1,1,18,4075.7,0,0.0,0.0,1,1,3977.2727272727275,0,0.0,0.0,1,1,1
