日期,收盘,开盘,最高,最低,涨跌幅,振幅
2009/3/30,3550,3561,3663,3513,0,0
2009/3/31,3550,3544,3580,3528,1.46,-0.48
2009/4/1,3538,3549,3566,3531,0.99,0.14
2009/4/2,3560,3547,3561,3543,0.51,-0.06
2009/4/3,3545,3473,3548,3456,2.59,-2.09
2009/4/6,3481,3448,3481,3436,1.3,-0.72
2009/4/8,3410,3491,3518,3410,3.13,1.25
2009/4/9,3480,3463,3491,3456,1,-0.8
2009/4/10,3476,3468,3486,3460,0.75,0.14
2009/4/13,3483,3484,3499,3470,0.84,0.46
2009/4/14,3485,3469,3493,3464,0.83,-0.43
2009/4/15,3475,3560,3600,3469,3.78,2.62
2009/4/16,3570,3562,3590,3550,1.12,0.06
2009/4/17,3582,3596,3628,3570,1.63,0.95
2009/4/20,3594,3620,3648,3581,1.86,0.67
2009/4/21,3620,3623,3648,3608,1.1,0.08
2009/4/22,3580,3524,3590,3486,2.87,-2.73
2009/4/23,3550,3526,3566,3508,1.65,0.06
2009/4/24,3529,3513,3531,3488,1.22,-0.37
2009/4/27,3513,3501,3522,3497,0.71,-0.34
2009/4/28,3510,3499,3520,3492,0.8,-0.06
2009/4/29,3496,3507,3515,3496,0.54,0.23
2009/4/30,3507,3520,3520,3503,0.48,0.37
2009/5/1,3536,3553,3575,3523,1.48,0.94
2009/5/5,3573,3636,3660,3571,2.5,2.34
2009/5/6,3636,3577,3644,3570,2.04,-1.62
2009/5/7,3578,3594,3598,3573,0.7,0.48
2009/5/8,3628,3593,3630,3591,1.09,-0.03
2009/5/11,3599,3614,3616,3589,0.75,0.58
2009/5/12,3615,3639,3678,3606,1.99,0.69
2009/5/13,3645,3645,3660,3630,0.82,0.16
2009/5/14,3655,3639,3657,3634,0.63,-0.16
2009/5/15,3616,3594,3620,3590,0.82,-1.24
2009/5/18,3600,3604,3618,3596,0.61,0.28
2009/5/19,3595,3608,3612,3581,0.86,0.11
2009/5/20,3630,3618,3630,3611,0.53,0.28
2009/5/21,3616,3618,3644,3612,0.88,0
2009/5/22,3620,3624,3642,3618,0.66,0.17
2009/5/25,3619,3618,3627,3608,0.52,-0.17
2009/5/26,3629,3609,3629,3600,0.8,-0.25
2009/5/27,3609,3601,3620,3596,0.67,-0.22
2009/5/28,3628,3610,3628,3606,0.61,0.25
2009/6/2,3630,3647,3657,3622,0.97,1.02
2009/6/3,3660,3655,3682,3652,0.82,0.22
2009/6/4,3659,3670,3672,3656,0.44,0.41
2009/6/5,3650,3700,3712,3645,1.83,0.82
2009/6/8,3721,3756,3778,3720,1.57,1.51
2009/6/9,3755,3788,3793,3747,1.22,0.85
2009/6/10,3797,3779,3807,3768,1.03,-0.24
2009/6/11,3792,3808,3813,3774,1.03,0.77
2009/6/12,3810,3878,3940,3807,3.49,1.84
2009/6/15,3888,3864,3928,3835,2.4,-0.36
2009/6/16,3855,3849,3877,3823,1.4,-0.39
2009/6/17,3829,3865,3882,3828,1.4,0.42
2009/6/18,3861,3852,3878,3841,0.96,-0.34
2009/6/19,3852,3842,3865,3830,0.91,-0.26
2009/6/22,3852,3907,3920,3846,1.93,1.69
2009/6/23,3908,3919,3936,3900,0.92,0.31
2009/6/24,3898,3881,3900,3835,1.66,-0.97
2009/6/25,3888,3870,3897,3858,1,-0.28
2009/6/26,3862,3866,3888,3858,0.78,-0.1
2009/6/29,3870,3854,3887,3846,1.06,-0.31
2009/6/30,3846,3829,3853,3823,0.78,-0.65
2009/7/1,3832,3826,3840,3817,0.6,-0.08
2009/7/2,3826,3839,3845,3820,0.65,0.34
2009/7/3,3856,3867,3878,3845,0.86,0.73
2009/7/6,3867,3859,3883,3858,0.65,-0.21
2009/7/7,3858,3866,3874,3855,0.49,0.18
2009/7/8,3876,3870,3880,3864,0.41,0.1
2009/7/9,3861,3850,3870,3837,0.85,-0.52
2009/7/10,3841,3865,3868,3841,0.7,0.39
2009/7/13,3874,3882,3892,3865,0.7,0.44
2009/7/14,3891,3886,3913,3881,0.82,0.1
2009/7/15,3902,3901,3908,3890,0.46,0.39
2009/7/16,3907,3973,3975,3907,1.74,1.85
2009/7/17,3989,4001,4028,3967,1.54,0.7
2009/7/20,4035,4007,4043,3999,1.1,0.15
2009/7/21,4016,4029,4031,4006,0.62,0.55
2009/7/22,4038,4034,4045,4014,0.77,0.12
2009/7/23,4044,4072,4088,4036,1.29,0.94
2009/7/24,4088,4122,4124,4076,1.18,1.23
2009/7/27,4125,4184,4198,4120,1.89,1.5
2009/7/28,4198,4236,4258,4178,1.91,1.24
2009/7/29,4235,4331,4336,4218,2.79,2.24
2009/7/30,4333,4392,4416,4304,2.59,1.41
2009/7/31,4410,4444,4449,4361,2,1.18
2009/8/3,4482,4627,4627,4455,3.87,4.12
2009/8/4,4777,4857,4857,4730,2.74,4.97
2009/8/5,4970,4848,4982,4828,3.17,-0.19
2009/8/6,4872,4883,4938,4820,2.43,0.72
2009/8/7,4890,4899,4913,4839,1.52,0.33
2009/8/10,4885,4754,4904,4690,4.37,-2.96
2009/8/11,4752,4698,4795,4650,3.05,-1.18
2009/8/12,4618,4658,4675,4603,1.53,-0.85
2009/8/13,4645,4591,4662,4564,2.1,-1.44
2009/8/14,4621,4617,4679,4602,1.68,0.57
2009/8/17,4620,4512,4640,4461,3.88,-2.27
2009/8/18,4443,4436,4537,4365,3.81,-1.68
2009/8/19,4475,4416,4499,4392,2.41,-0.45
2009/8/20,4400,4219,4414,4219,4.42,-4.46
2009/8/21,4240,4282,4317,4131,4.41,1.49
2009/8/24,4270,4334,4426,4245,4.23,1.21
2009/8/25,4451,4323,4462,4306,3.6,-0.25
2009/8/26,4280,4240,4280,4181,2.29,-1.92
2009/8/27,4210,4269,4296,4202,2.22,0.68
2009/8/28,4250,4271,4312,4223,2.08,0.05
2009/8/31,4288,4272,4333,4250,1.94,0.02
2009/9/1,4261,4133,4271,4115,3.65,-3.25
2009/9/2,4121,4086,4135,4066,1.67,-1.14
2009/9/3,4036,4050,4086,4020,1.62,-0.88
2009/9/4,4060,4047,4084,4016,1.68,-0.07
2009/9/7,4055,4033,4059,4020,0.96,-0.35
2009/9/8,4018,3919,4018,3908,2.73,-2.83
2009/9/9,3898,3944,3959,3880,2.02,0.64
2009/9/10,3960,4042,4048,3955,2.36,2.48
2009/9/11,4060,4007,4078,4003,1.86,-0.87
2009/9/14,4000,3972,4025,3957,1.7,-0.87
2009/9/15,3927,3973,3975,3900,1.89,0.03
2009/9/16,3993,3967,3996,3951,1.13,-0.15
2009/9/17,3985,4036,4040,3966,1.87,1.74
2009/9/18,4050,3990,4065,3990,1.86,-1.14
2009/9/21,3981,3973,3997,3937,1.5,-0.43
2009/9/22,3970,3989,4007,3961,1.16,0.4
2009/9/23,3977,3956,3989,3953,0.9,-0.83
2009/9/24,3958,3891,3964,3890,1.87,-1.64
2009/9/25,3881,3854,3882,3813,1.77,-0.95
2009/9/28,3830,3825,3847,3811,0.93,-0.75
2009/9/29,3812,3659,3815,3637,4.65,-4.34
2009/9/30,3667,3694,3709,3627,2.24,0.96
2009/10/1,3699,3690,3725,3670,1.49,-0.11
2009/10/12,3738,3642,3740,3640,2.71,-1.3
2009/10/13,3580,3637,3641,3580,1.67,-0.14
2009/10/14,3627,3609,3646,3608,1.04,-0.77
2009/10/15,3655,3678,3693,3652,1.14,1.91
2009/10/16,3679,3756,3758,3678,2.18,2.12
2009/10/19,3761,3829,3829,3760,1.84,1.94
2009/10/20,3830,3865,3961,3830,3.42,0.94
2009/10/21,3880,3842,3899,3810,2.3,-0.6
2009/10/22,3838,3887,3894,3826,1.77,1.17
2009/10/23,3920,3855,3940,3854,2.21,-0.82
2009/10/26,3860,3891,3912,3855,1.48,0.93
2009/10/27,3898,4001,4005,3898,2.75,2.83
2009/10/28,3988,3971,4014,3952,1.55,-0.75
2009/10/29,3968,3866,3968,3858,2.77,-2.64
2009/10/30,3820,3835,3854,3787,1.73,-0.8
2009/11/2,3879,3875,3895,3845,1.3,1.04
2009/11/3,3843,3910,3916,3828,2.27,0.9
2009/11/4,3910,3881,3940,3876,1.64,-0.74
2009/11/5,3886,3889,3903,3866,0.95,0.21
2009/11/6,4010,4015,4025,4008,0.44,3.24
2009/11/9,4020,4020,4026,4006,0.5,0.12
2009/11/10,4020,4057,4075,4018,1.42,0.92
2009/11/11,4067,4051,4091,4050,1.01,-0.15
2009/11/12,4060,4034,4065,4028,0.91,-0.42
2009/11/13,4074,4048,4085,4033,1.29,0.35
2009/11/16,4031,4069,4071,4007,1.58,0.52
2009/11/17,4071,4057,4085,4051,0.84,-0.29
2009/11/18,4075,4039,4079,4033,1.13,-0.44
2009/11/19,4046,4045,4053,4029,0.59,0.15
2009/11/20,4038,4115,4137,4035,2.52,1.73
2009/11/23,4130,4109,4156,4086,1.7,-0.15
2009/11/24,4122,4186,4193,4117,1.85,1.87
2009/11/25,4170,4118,4198,4092,2.53,-1.62
2009/11/26,4129,4129,4140,4103,0.9,0.27
2009/11/27,4546,4483,4563,4470,2.25,8.57
2009/11/30,4458,4345,4461,4321,3.12,-3.08
2009/12/1,4379,4364,4416,4348,1.57,0.44
2009/12/2,4383,4343,4384,4323,1.4,-0.48
2009/12/3,4355,4343,4366,4328,0.87,0
2009/12/4,4383,4385,4395,4366,0.67,0.97
2009/12/7,4368,4374,4381,4336,1.03,-0.25
2009/12/8,4354,4373,4395,4354,0.94,-0.02
2009/12/9,4380,4318,4385,4288,2.22,-1.26
2009/12/10,4284,4267,4290,4246,1.02,-1.18
2009/12/11,4267,4335,4337,4250,2.04,1.59
2009/12/14,4350,4396,4401,4350,1.18,1.41
2009/12/15,4400,4430,4433,4331,2.32,0.77
